Set,ID,Name,Rarity,Text,Flavour,Keywords,Life,Intellect,Resource,Cost,Defense,Attack
ARC,0,Eye of Ophidia,F,"**Legendary** *(You may only have 1 Eye of Ophidia in your deck.)*

When you pitch Eye of Ophidia, **opt 2**.",,"generic,resource,gem",,,3,,,
ARC,1,"Dash, Inventor Extraordinaire",T,You may start the game with a Mechanologist item with cost [2 resource] or less in the arena. *(It's considered to have entered the arena.)*,,"mechanologist,hero",40,4,,,,
ARC,2,Dash,T,You may start the game with a Mechanologist item with cost [2 resource] or less in the arena. *(It's considered to have entered the arena.)*,,"mechanologist,hero,young",20,4,,,,
ARC,3,Teklo Plasma Pistol,T,"**Action** - Remove a steam counter from Teklo Plasma Pistol: **Attack**

**Action** - [resource]: If there are no steam counters on Teklo Plasma Pistol, put a steam counter on it. **Go again**",,"mechanologist,weapon,pistol,2h",,,,,,2
ARC,4,Teklo Foundry Heart,L,"**Once per Turn Action** - [resource]: Banish the top 2 cards of your deck. Gain [resource] for each Mechanologist card banished this way. Activate this ability only if you have **boosted** this turn.**Go again**

**Battleworn** *(If you defend with Teklo Foundry Heart, put a [-1 defense] counter on it when the combat chain closes.)*",,"mechanologist,equipment,chest",,,,,2,
ARC,5,Achilles Accelerator,C,"**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.

**Arcane Barrier 1** *(If your hero would be dealt arcane damage, you may pay [resource] instead. If you do, prevent 1 arcane damage that source would deal.)*",,"mechanologist,equipment,legs",,,,,,2
ARC,6,High Octane,M,"Whenever you **boost** a card this turn, gain 1 action point.

Draw a card.

**Go again**","""Now that's what I call blowing off steam!"" - Dash","mechanologist,action",,,1,1,3,
ARC,7,Teklo Core,M,"**Dash specialization** *(You may only have Teklo Core in your deck if your hero is Dash.)*

Teklo Core enters the arena with 2 steam counters on it. When Teklo Core has no steam counters on it, destroy it.

At the beginning of your action phase, remove a steam counter from Teklo Core and gain [resource][resource].",,"mechanologist,action,item",,,3,1,3,
ARC,8,Maximum Velocity,S,Play Maximum Velocity only if you have boosted 3 or more times this turn.,"Zoom! Zip! Kazam! Ever wanted to show 'ol Joey what for? Now you can, with the Velocitator 60-T! Turn that pesky rival into a smear on the pavement!","mechanologist,action,attack",,,1,2,3,10
ARC,9,Spark of Genius,S,"**Dash specialization** *(You may only have Teklo Core in your deck if your hero is Dash.)*

Search your deck for a Mechanologist item card with cost X, put into the arena, then shuffle your deck.

If you have boosted this turn, draw a card.","""So if I grab... then connect... That's it!"" - Dash","mechanologist,action",,,2,xx,3,
ARC,10,Induction Chamber,S,"**Action - [resource]**: If there are no steam counters on Induction Chamber, put a steam counter on it. **Go again**

**Once per Turn Attack Reaction** - Remove a steam counter from Induction Chamber: Target Mechanologist pistol attaack gains **go again**.","""So if I grab... then connect... That's it!"" - Dash","mechanologist,action,item",,,1,2,,
ARC,11,Pedal to the Metal,R,"If Pedal to the Metal hits, your next attack this turn gains **dominate**. *(The defending hero can't defend the attack with more than 1 card from their hand.)*",,"mechanologist,action,attack",,,1,2,2,5
ARC,12,Pedal to the Metal,R,"If Pedal to the Metal hits, your next attack this turn gains **dominate**. *(The defending hero can't defend the attack with more than 1 card from their hand.)*",,"mechanologist,action,attack",,,2,2,2,4
ARC,13,Pedal to the Metal,R,"If Pedal to the Metal hits, your next attack this turn gains **dominate**. *(The defending hero can't defend the attack with more than 1 card from their hand.)*",,"mechanologist,action,attack",,,3,2,2,3
ARC,14,Pour the Mould,R,"Put a Mechanologist item with cost [2 resource] or less from your hand into the arena.

If you have **boosted** this turn, put a steam counter on it.

**Go again**",,"mechanologist,action",,,1,0,3,
ARC,15,Pour the Mould,R,"Put a Mechanologist item with cost [resource] or less from your hand into the arena.

If you have **boosted** this turn, put a steam counter on it.

**Go again**",,"mechanologist,action",,,2,0,3,
ARC,16,Pour the Mould,R,"Put a Mechanologist item with cost 0 or less from your hand into the arena.

If you have **boosted** this turn, put a steam counter on it.

**Go again**",,"mechanologist,action",,,3,0,3,
ARC,17,Aether Sink,R,"Aether Sink enters the arena with a steam counter on it.

**Action** - [resource]: If there are no steam counters on Aether Sink, put a steam counter on it. **Go again**

**Instant** - Remove a steam counter from Aether Sink: Aether Sink gains Arcane Barrier 2 until end of turn.",,"mechanologist,action,item",,,2,1,,
ARC,18,Cognition Nodes,R,"Aether Sink enters the arena with a steam counter on it.

**Action** - [resource]: If there are no steam counters on Aether Sink, put a steam counter on it. **Go again**

**Instant** - Remove a steam counter from Aether Sink: Aether Sink gains Arcane Barrier 2 until end of turn.",,"mechanologist,action,item",,,3,1,,
ARC,19,Convection Amplifier,R,"Aether Sink enters the arena with a steam counter on it.

**Action** - [resource]: If there are no steam counters on Aether Sink, put a steam counter on it. **Go again**

**Instant** - Remove a steam counter from Aether Sink: Aether Sink gains Arcane Barrier 2 until end of turn.",,"mechanologist,action,item",,,3,1,,
ARC,20,Over Loop,C,"If Over Loop hits, put it on the bottom of your deck.

**Boost** *(As an additional cost to play Over Loop, you may banish the top card of your deck. If it's a Mechanologist card, Over Loop gains **go again**.)*",,"mechanologist,action,attack",,,1,2,3,5
ARC,21,Over Loop,C,"If Over Loop hits, put it on the bottom of your deck.

**Boost** *(As an additional cost to play Over Loop, you may banish the top card of your deck. If it's a mechanologist card, Over Loop gains **go again**.)*",,"mechanologist,action,attack",,,2,2,3,4
ARC,22,Over Loop,C,"If Over Loop hits, put it on the bottom of your deck.

**Boost** *(As an additional cost to play Over Loop, you may banish the top card of your deck. If it's a Mechanologist card, Over Loop gains **go again**.)*",,"mechanologist,action,attack",,,3,2,3,3
ARC,23,Throttle,C,"**Boost** *(As an additional cost to play Over Loop, you may banish the top card of your deck. If it's a Mechanologist card, Throttle gains **go again**.)*","*Why, my steam-propelled hammer could increase mining efficiency by up to 38%! - Elias Edgecombe*","mechanologist,action,attack",,,1,2,3,6
