Set,ID,Name,Rarity,Text,Flavour,Comments,Keywords,Life,Intellect,Resource,Cost,Defense,Attack,Variant of,Finish
CRU,0,Arknight Shard,F,"**Legendary Viserai Specialization** *(You may only have 1 Arknight Shard in your deck, and only if your hero is Viserai.)*

When you pitch Arknight Shard, create a Runechant token.",,,"runeblade,resource,gem",,,3,,,,,cold
CRU,1,"Rhinar, Reckless Rampage",C,"When you discard a card with 6 or more [attack] during your action phase, *intimidate*.",,,"brute,hero",40,4,,,,,,standard
CRU,2,"Kayo, Berserker Runt",R,"Whenever you play an attack action card with 6 or more base [attack], roll a 6 sided die. On;

* 1 to 4 - Half the attack's base [attack], rounded down.
* 5 or 6 - Double the attack's base [attack].",,,"brute,hero,young",19,4,,,,,,"standard,rainbow"
CRU,3,Romping Club,C,"**Once per turn Action** - [2 resource]: **Attack**

**Once per Turn Effect** - When you discard a card with 6 or more [attack], Romping Club gains +1[attack] until end of turn.",,,"brute,weapon,club,2h",,,,,,4,,standard
CRU,4,Mandible Claw,R,"**Once per Turn Action -- [2 resource]: Attack**

If you have discarded a card with 6 or more [attack] this turn, Mandible Claw gains **go again**.",,,"brute,weapon,claw,1h",,,,,,3,,"standard,cold"
CRU,5,Mandible Claw,R,"**Once per Turn Action -- [2 resource]: Attack**

If you have discarded a card with 6 or more [attack] this turn, Mandible Claw gains **go again**.",,,"brute,weapon,claw,1h",,,,,,3,,"standard,cold"
CRU,6,Skullhorn,M,"**Action** - Destroy Skullhorn: Draw a card then discard a random card. **Go again**

**Arcane Barrier 2** *(If your hero would be dealt arcane damage, you may pay [2 resource] instead. If you do, prevent 2 arcane damage that source would deal.",,,"brute,equipment,head",,,,,0,,,"standard,cold"
CRU,7,Beast Within,M,"If Beast Within is put into a graveyard from anywhere other than the combat chain, banish the top card of your deck and lose 1[life]. If it has 6 or more [attack], put it into your hand, otherwise repeat this process.",,,"brute,action,attack",,,2,3,3,6,,"standard,rainbow"
CRU,8,Massacre,M,"If you have discarded a card with 6 or more [attack] this turn, Massacre gains +2[attack] and **intimidate**.

If Massacre is discarded to pay the cost of a Brute attack action card, **intimidate**.",,,"brute,action,attack",,,1,3,3,6,,"standard,rainbow"
CRU,9,ARGH... Smash!,M,"Roll a 6 sided die. Destroy up to X items where X is half the number, rounded down.

**Go again**",,,"brute,action",,,2,3,3,,,"standard,rainbow"
CRU,10,Barraging Big Horn,R,"As an additional cost to play Barraging Big Horn, discard a random card.

While Barraging Big Horn is defended by less than 2 non-equipment cards, it has **go again**.","""Big Horn? Big problem!"" - Togark",,"brute,action,attack",,,1,2,3,7,,"standard,rainbow"
CRU,11,Barraging Big Horn,R,"As an additional cost to play Barraging Big Horn, discard a random card.

While Barraging Big Horn is defended by less than 2 non-equipment cards, it has **go again**.","""Big Horn? Big problem!"" - Togark",,"brute,action,attack",,,2,2,3,6,,"standard,rainbow"
CRU,12,Barraging Big Horn,R,"As an additional cost to play Barraging Big Horn, discard a random card.

While Barraging Big Horn is defended by less than 2 non-equipment cards, it has **go again**.","""Big Horn? Big problem!"" - Togark",,"brute,action,attack",,,3,2,3,5,,"standard,rainbow"
CRU,13,Predatory Assault,C,"If you have discarded a card with 6 or more [attack] this turn, Predatory Assault gains **dominate**. *(The defending hero can't defend Predatory Assault with more than 1 card from their hand.)*",,,"brute,action,attack",,,1,2,3,6,,"standard,rainbow"
CRU,14,Predatory Assault,C,"If you have discarded a card with 6 or more [attack] this turn, Predatory Assault gains **dominate**. *(The defending hero can't defend Predatory Assault with more than 1 card from their hand.)*",,,"brute,action,attack",,,2,2,3,5,,"standard,rainbow"
CRU,15,Predatory Assault,C,"If you have discarded a card with 6 or more [attack] this turn, Predatory Assault gains **dominate**. *(The defending hero can't defend Predatory Assault with more than 1 card from their hand.)*",,,"brute,action,attack",,,3,2,3,4,,"standard,rainbow"
CRU,16,Riled Up,C,"If you have discarded a card with 6 or more [attack] this turn, Riled Up gains +1[attack].","When word of war reached the Rek'vas Bloodboars, they were struck with fear... fear of missing out!",,"brute,action,attack",,,1,3,3,7,,"standard,rainbow"
CRU,17,Riled Up,C,"If you have discarded a card with 6 or more [attack] this turn, Riled Up gains +1[attack].","When word of war reached the Rek'vas Bloodboars, they were struck with fear... fear of missing out!",,"brute,action,attack",,,2,3,3,6,,"standard,rainbow"
CRU,18,Riled Up,C,"If you have discarded a card with 6 or more [attack] this turn, Riled Up gains +1[attack].","When word of war reached the Rek'vas Bloodboars, they were struck with fear... fear of missing out!",,"brute,action,attack",,,3,3,3,5,,"standard,rainbow"
CRU,19,"Swing Fist, Think Later",C,"As an additional cost to play Swing Fist, Think Later, discard a random card.

**Go again**","""Nobody says that about my Mama."" - Thuk",,"brute,action,attack",,,1,1,3,4,,"standard,rainbow"
CRU,20,"Swing Fist, Think Later",C,"As an additional cost to play Swing Fist, Think Later, discard a random card.

**Go again**","""Nobody says that about my Mama."" - Thuk",,"brute,action,attack",,,2,1,3,3,,"standard,rainbow"
CRU,21,"Swing Fist, Think Later",C,"As an additional cost to play Swing Fist, Think Later, discard a random card.

**Go again**","""Nobody says that about my Mama."" - Thuk",,"brute,action,attack",,,3,1,3,2,,"standard,rainbow"
CRU,22,"Bravo, Showstopper",C,"**Action** - [2 resource]: Until end of turn, your attack action cards with cost [3 resource] or greater gain **dominate**. **Go again** *(The defending hero can't the attack with more than 1 card from their hand.*",,,"guardian,hero",40,4,,,,,,standard
CRU,23,Anothos,C,"**Once per turn action [3 resource] - Attack**

If you have 2 or more cards in your pitch zone with cost [3 resource] or greater, Anothos gains +2[attack].",,,"guardian,weapon,hammer,2h",,,,,,4,,standard
CRU,24,Sledge of Anvilheim,R,**Action - [4 resource]: Attack**,"""Where Isen's Peak touches the heavens, mighty weapons fit for the Gods are forged."" - Olde tale of Anvilheim",,"guardian,weapon,hammer,2h",,,,,,6,,"standard,cold"
CRU,25,Crater Fist,M,"**Action - [3 resource],** destroy Crater Fist: Your attacks with **crush** gain +2[attack] this turn. **Go again**

**Temper** *(If you defend with Crater Fist, put a -1[defense] counter on it when the combat chain closes then destroy it if it has 0[defense].)*",,,"guardian,equipment,arms",,,,,2,,,"standard,cold"
CRU,26,Mangle,M,"**Crush** - If Mangle deals 4 or more damage to a hero, destroy target equipment they control with a -1[defense] counter on it.","""There will be no peace for warmongers like you."" - Jarl Vetreidi",,"guardian,action,attack",,,1,4,3,8,,"standard,rainbow"
CRU,27,Righteous Cleansing,M,"**Crush** - If Righteous Cleansing deals 4 or more damage to a hero, look at the top 5 cards of their deck. Banish 1 or more cards with the same name from among them, then put the rest on top of their deck in any order.",,,"guardian,action,attack",,,2,7,3,10,,"standard,rainbow"
CRU,28,Stamp Authority,M,"When Stamp Authority enters the arena, if you have 2 or more cards in your pitch zone with cost 3 or greater, your hero gains +1[intellect] until end of turn.

While Stamp Authority is in the arena, attack action card effects do not trigger when they hit.

At the beginning of your action phase, destroy Stamp Authority.",,,"guardian,action,aura",,,3,3,3,,,"standard,rainbow"
