Set,ID,Name,Rarity,Text,Flavour,Comments,Keywords,Life,Intellect,Resource,Cost,Defense,Attack,Variant of,Finish
IRA,1,"Ira, Crimson Haze",P,Your second attack each turn gains +1[attack].,,,"ninja,hero",20,4,,,,,,Regular
IRA,2,Edge of Autumn,P,,,,"ninja,weapon,sword,2h",,,,,,1,,Regular
IRA,3,Whirling Mist Blossom,P,,,,"ninja,action,attack",,,2,1,2,2,,Regular
IRA,4,Salt the Wound,P,,,,"ninja,action,attack",,,2,0,3,2,,Regular
IRA,5,Bittering Thorns,P,,,,"ninja,action,attack",,,2,1,2,3,,Regular
IRA,6,Torrent of Tempo,P,,,,"ninja,action,attack",,,1,1,3,5,,Regular
IRA,7,Flying Kick,P,,,,"ninja,action,attack",,,1,2,3,5,,Regular
IRA,8,Head Jab,P,,,,"ninja,action,attack",,,3,0,2,1,,Regular
IRA,9,Scar for a Scar,P,,,,"generic,action,attack",,,1,0,2,4,,Regular
IRA,10,Brutal Assault,P,,,,"generic,action,attack",,,3,2,3,4,,Regular
IRA,11,Lunging Press,P,,,,"generic,attack,reaction",,,3,0,2,,,Regular
IRA,12,Springboard Somersault,P,,,,"generic,defense,reaction",,,2,0,2,,,Regular
HER,0,"IRA, Crimson Haze",P,,,,,,,,,,,IRA001,Cold Foil
