Rule,Description,Keyword,Cards,Source,Date
Battleworn,"* When you defend with a card it remains on the combat chain until the chain closes, therefore you cannot defend with an equipment multiple times on the same combat chain.
* A [-1 defense] counter stays on the card until the card is destroyed or the game ends.
* If the defense of a card that is defending is below zero, calculate as if its defense is zero.",battleworn,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Bladebreak,"* When you defend with a card it remains on the combat chain until the chain closes, therefore you cannot defend with an equipment multiple times on the same combat chain.
* When this card is destroyed, it is sent to your graveyard.
* The ability goes on the stack when the combat chain closes.",blade break,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Combo,"* The last attack does not have to have hit.
* Only the name of the last attack matters, other variables such as the pitch cost does not matter.
* You may still play the attack even if combo isn’t active.",combo,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Crush,"* Crush only checks the amount of damage dealt to the hero. Prevented damage does not 
* Crush is not optional, if the card does 4 or more damage, the effect will apply.",crush,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Dominate,"* Cards with dominate cannot be defended with more than 1 card from the defending hero’s hand.
* You can still block with equipment and defense reactions played from arsenal in addition to up to 1 card from hand.
* Playing a defense reaction from your hand counts towards the 1 card from your hand restriction. You cannot defend with a card in your hand then play a defense reaction from your hand.",dominate,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Go again,"* When an action with go again resolves, its controller gains 1 action point.
* Multiple instances of go again on the same card or activated ability do not stack. If a card or activated ability has multiple instances of go again when it resolves its controller gains 1 action point only.",go again,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Intimidate,"* The player who owns the banished card may look at it.
* The card banished from intimidate is returned to hand at the beginning of the end phase. This is before players draw up to hand size.
* You may target yourself with this ability. However you will receive the card back into your hand before drawing up to your hand size.
* You may target a hero with no cards in hand.
* If there are other banished cards that aren’t from intimidate, it is encouraged to keep intimidated cards seperate from these cards.",intimidate,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Reprise,"* Reprise cares about the current chain link not the whole combat chain. If a previous attack was defended by a card in hand, it will have no effect on reprise for the current chain link.
* Reprise is checked at the time you play the card. If a card with reprise is played then a defense reaction is played from hand, the effect will not apply retroactively.
* Equipment and cards from arsenal that defend an attack do not turn on reprise.",reprise,,https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Bravo,* The attack action does not gain go again. Bravo’s activated ability requires an action point to use and provides an action point from go again upon resolution.,,"WTR030,WTR039",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
Dorinthea,"* This ability does not give the weapon attack go again. You are still required to have an action point to attack again.
* This ability bypasses the “Once per Turn Action - Attack” on weapons and allows an additional attack with the same weapon
* This effect is mandatory, the first weapon you hit with each turn gets this effect. It cannot be saved up for a future weapon attack that turn.",,"WTR113,WTR114",https://fabtcg.com/resources/rules-and-policy-center/release-notes/welcome-rathe/,
