Set,ID,Name,Rarity,Text,Flavour,Comments,Keywords,Life,Intellect,Resource,Cost,Defense,Attack,Variant of,Finish
WTR,0,Heart of Fyendal,F,"**Legendary** *(You may only have 1 Heart of Fyendal in your deck.)*

When you pitch Heart of Fyendal, if you have less [life] than your opponent, gain 1[life].","Deep within the wilderness, a tree falls, succumbing to the passage of time. As the wood rots, its essence flows into the earth, fuelling the new life which blossoms amongst the moss and stone. The ruler of the jungle deep, a predator without equal, is lost in slumber… yet its heart still beats, somewhere amongst the undergrowth, echoing the endless cycle of life and death.","The Heart of Fyendal was the first fabled card for Flesh & Blood. Additionally, it was a wonderful surprise to the community, as [Legend Story Studios](https://legendstory.com) never mentioned that such a card existed in the lead up to its release. As a result, the first player to find the Heart was confused by what they had found, as were we all.","generic,resource,gem",,,3,,,,,cold
WTR,1,"Rhinar, Reckless Rampage",T,"When you discard a card with 6 or more [attack] during your action phase, *intimidate*.",,,"brute,hero",40,4,,,,,,standard
WTR,2,Rhinar,T,"When you discard a card with 6 or more [attack] during your action phase, *intimidate*.",,,"brute,hero,young",20,4,,,,,,standard
WTR,3,Romping Club,T,"**Once per turn Action** - [2 resource]: **Attack**

**Once per Turn Effect** - When you discard a card with 6 or more [attack], Romping Club gains +1[attack] until end of turn.",,,"brute,weapon,club,2h",,,,,,4,,standard
WTR,4,Scabskin Leathers,L,"**Once per Turn Action** - 0: Roll a 6 sided die. Gain action points equal to half the number roll, rounded down.

**Battleworn** *(If you defend with Scabskin Leathers, put a -1[defense] counter on it when the combat chain closes.)*",,,"brute,equipment,legs",,,,,2,,,cold
WTR,5,Barkbone Strapping,C,"**Instant** - Destroy Barkbone Strapping: Roll a 6 sided die. Gain [resource] equal to half the number rolled, rounded down.

**Battleworn** *(If you defend with Backbone Strapping, put a -1[defense] counter on it when the combat chain closes.)*",,,"brute,equipment,chest",,,,,1,,,"standard,rainbow"
WTR,6,Alpha Rampage,M,"**Rhinar Specialization** *(You may only have Alpha Rampage in your deck if your hero is Rhinar.)*

As an additional cost to play Alpha Rampage, discard a random card.

**Intimidate**",,,"brute,attack,action",,,1,3,3,9,,"standard,rainbow"
WTR,7,Bloodrush Bellow,M,"As an additional cost to play Bloodrush Bellow, discard a random card.

Your Brute attacks gain +2[attack] this turn.

If the discarded card has 6 or more [attack], draw 2 cards and Bloodrush Bellow gains **go again**",,,"brute,action",,,2,1,3,,,"standard,rainbow"
WTR,8,Reckless Swing,S,"As an additional cost to play Reckless Swing, discard a random card.

If the discarded card has 6 or more [attack], deal 2 damage to the attacking hero.",,,"brute,defense,reaction",,,3,0,4,,,"standard,rainbow"
WTR,9,Sand Sketched Plan,S,"**Rhinar Specialization** *(You may only have Sand Sketched Plan in your deck if your hero is Rhinar.)*

Search your deck for a card, put it into your hand, discard a random card, then shuffle your deck.

If the discarded card has 6 or more [attack], gain 2 action points.",,,"brute,action",,,3,0,3,,,"standard,rainbow"
